Station,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
Aifat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,100,53.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.06,64.52,0,0,26.67,96.77,96.77,100,0,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100
Alor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.67,100,100,96.77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93.55,100,100,100,100,93.55,100,96.77,87.1,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,83.33,100,100,100,100,90,100,100,100,0,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,90,100,100,100
Alor Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,100,53.33,0,0,0,0,0,35.48,100,100,100,100,100,100,100,100,100,100,90,100,96.67,100,90.32,82.14,0,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,76.67,100,100,96.77
Alor Timur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.74,100,36.67,83.87,100,100,64.52,71.43,100,96.67,93.55,100,100,100,83.33,51.61,100,100,100,100,100,100,100,100,100,100,63.33,22.58,96.67,100,100,100,0,100,100,100,100,100,96.67,96.77,93.33,100,93.55,100,100,100,93.55,100,100,100,100,100,100,100
Ambon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,100,90.32,0,0,0,0,0,3.33,0,0,0,0,0,0,0,6.45,80.65,100,100,100,100,100,100,100,100,93.55,100,100,100,100,100,100,96.77,87.1,3.45,0,0,0,0,0,0,33.33,58.06,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,96.67,96.77
Anyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.29,64.52,40,100,100,100,100,100,100,100,93.55,100,100,100,100,100,63.33,93.55,100,100,100,30,0,0,0,0,0,0,0,0,0,71.43,0,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100
Argamakmur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,100,100,100,100,100,100,40,93.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.67,100,100,100,0,100,100,100,100,100,100,100,96.67,100,100,17.24,0,0,0,0,0,0,16.67,25.81,100,100
Argo Pancuran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.48,36.67,100,100,100,96.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.74,100,100,93.33,83.87,96.77,93.1,100,100,100,100,100,100,96.67,100,100,100
Arso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.94,0,0,90.32,100,100,100,100,70.97,60,93.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.67,100,100,100,0,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100
Aru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.74,100,40,100,100,77.42,100,100,100,96.67,93.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.67,100,100,100,0,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100
