Station,2016,2017,2018,2019,2020,2021,2022,2023,2024
Stageof Deli Serdang,96.37125,95.08916667,90.83333333,78.35416667,99.73083333,100,100,87.83916667,91.66666667
Stageof Jayapura,98.36,61.02083333,59.13083333,91.82083333,78.9775,92.45583333,97.27583333,90.645,92.9375
Stageof Kupang,24.19375,67.93083333,96.44333333,91.5825,93.12333333,58.31333333,92.545,95.9225,96.23583333
Stageof Manado,0,77.1325,98.925,82.74,100,99.18416667,97.0075,99.4625,99.73083333
